,original_title,runtime,vote_average,release_year,genre
214,Mississippi Grind,108,5.7,2015,Drama
215,400 Days,91,4.2,2015,Mystery
215,400 Days,91,4.2,2015,Science Fiction
215,400 Days,91,4.2,2015,Thriller
216,Lava,7,7.3,2015,Animation
216,Lava,7,7.3,2015,Comedy
216,Lava,7,7.3,2015,Family
216,Lava,7,7.3,2015,Fantasy
216,Lava,7,7.3,2015,Music
217,Air,94,4.7,2015,Thriller
217,Air,94,4.7,2015,Science Fiction
218,Riot,88,5.0,2015,Action
219,Septembers of Shiraz,110,5.9,2015,Drama
219,Septembers of Shiraz,110,5.9,2015,Thriller
220,Every Thing Will Be Fine,118,5.1,2015,Drama
221,Extinction,110,5.3,2015,Drama
221,Extinction,110,5.3,2015,Horror
221,Extinction,110,5.3,2015,Science Fiction
222,The Childhood of a Leader,116,3.6,2015,Mystery
222,The Childhood of a Leader,116,3.6,2015,Drama
222,The Childhood of a Leader,116,3.6,2015,Horror
223,A Walk in the Woods,104,5.4,2015,Drama
223,A Walk in the Woods,104,5.4,2015,Adventure
223,A Walk in the Woods,104,5.4,2015,Comedy
224,Clown,100,5.2,2015,Horror
225,The Lazarus Effect,83,4.9,2015,Thriller
225,The Lazarus Effect,83,4.9,2015,Horror
226,Batman vs. Robin,72,6.8,2015,Action
226,Batman vs. Robin,72,6.8,2015,Adventure
226,Batman vs. Robin,72,6.8,2015,Animation
227,Careful What You Wish For,91,5.4,2015,Thriller
228,Racing Extinction,90,7.8,2015,Adventure
228,Racing Extinction,90,7.8,2015,Documentary
229,Unfinished Business,90,4.9,2015,Comedy
230,Lost River,95,5.7,2015,Fantasy
230,Lost River,95,5.7,2015,Thriller
231,Cobain: Montage of Heck,132,7.5,2015,Music
231,Cobain: Montage of Heck,132,7.5,2015,Documentary
232,Hyena Road,120,5.7,2015,War
232,Hyena Road,120,5.7,2015,Drama
233,Criminal Activities,94,5.9,2015,Thriller
233,Criminal Activities,94,5.9,2015,Crime
233,Criminal Activities,94,5.9,2015,Drama
234,Life,112,5.9,2015,Drama
235,"McFarland, USA",128,7.4,2015,Drama
236,Backtrack,90,5.4,2015,Horror
236,Backtrack,90,5.4,2015,Mystery
237,X+Y,111,6.0,2015,Drama
238,Home Sweet Hell,98,4.9,2015,Drama
238,Home Sweet Hell,98,4.9,2015,Comedy
239,Ooops! Noah is Gone...,85,5.7,2015,Animation
239,Ooops! Noah is Gone...,85,5.7,2015,Adventure
